userid,age,gender,tenure,friend_count,friendships_initiated,likes,likes_received,engagement_score,user_category,primary_platform
1801945,19,female,1528.0,4320,737,903,1136,0.3360267189742673,Medium Engagement,Mobile
2158166,16,female,1192.0,3817,1688,321,1428,0.33591313298324943,Medium Engagement,Both
1973377,18,female,585.0,3898,2147,662,1185,0.3357028100390911,Medium Engagement,Both
1284837,45,male,1919.0,3826,709,1483,4618,0.3355590088015511,Medium Engagement,Both
1789467,16,female,584.0,4638,1033,2402,2947,0.334676899152612,Medium Engagement,Mobile
1101955,19,female,598.0,4557,1355,618,4986,0.334125458285127,Medium Engagement,Mobile
1811927,80,male,851.0,4548,1270,89,614,0.33409498305087615,Medium Engagement,Mobile
2051262,14,male,873.0,3463,2110,1659,1385,0.33368313575628084,Medium Engagement,Web
2079095,23,male,417.0,3464,1296,8244,12435,0.333566005777203,Medium Engagement,Both
1070396,37,female,878.0,2738,2021,6294,6258,0.33345709287433756,Medium Engagement,Both
2132467,88,male,1416.0,3313,1692,1763,1853,0.33302651058389815,Medium Engagement,Web
2025725,17,female,702.0,4701,1130,184,4803,0.3319519581862942,Medium Engagement,Web
1617592,16,female,781.0,3876,2012,1,76,0.33132240865616913,Medium Engagement,Mobile
1083386,68,female,1559.0,4499,582,23,51,0.3312777021431654,Medium Engagement,Mobile
1386477,61,male,1210.0,4844,561,7,247,0.33112935196801774,Medium Engagement,Mobile
1284415,98,female,1337.0,4655,623,80,10,0.33099258174778823,Medium Engagement,Mobile
2159412,15,female,1041.0,4452,662,2596,3212,0.3309122502411788,Medium Engagement,Both
1983513,21,female,1501.0,3353,1561,1346,2034,0.32961454069814644,Medium Engagement,Both
1899239,19,male,1296.0,3639,1616,514,962,0.3295491174990173,Medium Engagement,Web
1595032,18,female,1031.0,4085,1454,274,618,0.32954119190916387,Medium Engagement,Mobile
2061020,18,female,1035.0,4566,646,1726,4258,0.3295141807450077,Medium Engagement,Web
1921204,18,female,491.0,4695,1388,28,151,0.32921162872557996,Medium Engagement,Mobile
1862123,24,female,1477.0,4062,1056,66,315,0.3285885773229452,Medium Engagement,Both
1972989,15,female,499.0,4731,930,2408,479,0.3285248100564269,Medium Engagement,Mobile
1160771,26,female,1013.0,4604,726,1171,2050,0.3281425605791248,Medium Engagement,Web
1116472,23,male,1142.0,2964,2396,706,2074,0.3279376691728193,Medium Engagement,Mobile
1617578,20,female,526.0,4665,687,3360,7446,0.32765262097572534,Medium Engagement,Mobile
1422393,19,female,456.0,3850,1311,4151,17117,0.32674123785456227,Medium Engagement,Mobile
1620281,17,female,1613.0,2268,1342,8432,3214,0.32663949884892723,Medium Engagement,Web
1522003,21,female,1251.0,3494,1369,2430,4857,0.32635717315918883,Medium Engagement,Web
2031813,15,female,564.0,4227,1739,73,118,0.3262072992964977,Medium Engagement,Web
1605870,20,female,25.0,4576,1710,1006,2293,0.3258704241474703,Medium Engagement,Web
2168340,68,male,1052.0,3495,2004,64,306,0.32521621819437757,Medium Engagement,Mobile
1029505,50,male,1182.0,3482,1695,954,2906,0.32493445514148356,Medium Engagement,Web
1845678,20,female,1669.0,3765,950,816,1382,0.3243558623715986,Medium Engagement,Mobile
1959285,15,female,655.0,3742,2009,347,3477,0.32371173046076085,Medium Engagement,Mobile
1163502,36,male,2258.0,2561,1711,127,1893,0.32299162825140176,Medium Engagement,Both
1558389,108,female,1329.0,4274,820,346,123,0.32297517601647746,Medium Engagement,Mobile
1569422,20,female,1015.0,2565,1071,10020,16336,0.32276206774509264,Medium Engagement,Both
1734793,23,female,1432.0,4505,416,570,1019,0.3225998591143375,Medium Engagement,Both
1222311,19,female,580.0,3559,2273,412,1417,0.3225163332299294,Medium Engagement,Web
1587911,108,female,1105.0,4797,535,1,137,0.32233823273075474,Medium Engagement,Mobile
1697605,16,female,542.0,2824,1122,11506,9269,0.322197476514778,Medium Engagement,Web
1033997,22,female,742.0,4199,944,3070,4431,0.3220950750915624,Medium Engagement,Web
1842048,18,female,495.0,3740,1922,1696,2470,0.32173880743292155,Medium Engagement,Mobile
1713723,17,female,667.0,4277,1477,27,1447,0.32167481290203376,Medium Engagement,Mobile
1825400,23,male,846.0,4260,1176,764,2050,0.32116982859325977,Medium Engagement,Mobile
1213319,16,female,669.0,4337,1422,22,179,0.3211521293352672,Medium Engagement,Mobile
1693605,19,female,600.0,3719,1761,1918,3896,0.3207796813250567,Medium Engagement,Web
1526298,71,female,1059.0,4714,527,519,1588,0.32077579122541355,Medium Engagement,Mobile
1743496,103,female,1427.0,4676,243,359,135,0.3203378159618781,Medium Engagement,Both
1182164,17,female,434.0,3813,1936,1281,3005,0.32031095934251325,Medium Engagement,Mobile
2068044,23,female,1641.0,2520,2157,869,2377,0.31923111108301827,Medium Engagement,Web
1792910,86,male,610.0,4759,994,0,8,0.31880025412893925,Medium Engagement,None
1804329,17,male,334.0,3767,2168,766,1036,0.31878384228640955,Medium Engagement,Web
1350571,101,male,2190.0,2547,1652,425,1729,0.3184316329123242,Medium Engagement,Both
1770870,58,male,1602.0,3111,1707,96,530,0.31809057859748874,Medium Engagement,Both
2041648,15,female,893.0,3893,715,4236,10510,0.31666081098685117,Medium Engagement,Web
1240778,20,male,483.0,2803,2306,4645,3668,0.31652045003640517,Medium Engagement,Both
1248113,21,female,718.0,4698,811,475,871,0.3164753889009983,Medium Engagement,Mobile
1115385,103,female,1690.0,4449,194,22,322,0.3164722282184092,Medium Engagement,Web
1182720,19,female,1101.0,4252,958,142,706,0.3164446335714827,Medium Engagement,Mobile
1190613,20,female,746.0,4483,863,998,3379,0.3154908025471348,Medium Engagement,Mobile
1171020,19,female,677.0,4683,913,85,431,0.31523409660024215,Medium Engagement,Both
1352830,16,male,990.0,3556,1677,644,1381,0.31501196554475097,Medium Engagement,Web
1645807,20,female,459.0,4710,894,879,4830,0.3149631536242385,Medium Engagement,Mobile
1947208,24,male,906.0,3118,2220,625,1541,0.3149331617981197,Medium Engagement,Mobile
1317175,50,male,620.0,3681,1900,463,3801,0.3148528873814233,Medium Engagement,Mobile
1736833,15,female,613.0,4681,907,292,1388,0.3141661185025332,Medium Engagement,Web
1584342,21,male,972.0,3234,2133,51,12,0.31403644232687994,Medium Engagement,Mobile
2038559,84,male,1200.0,4637,434,3,85,0.31385436329790606,Medium Engagement,Web
1656844,88,male,736.0,4558,854,296,4573,0.31371031096074914,Medium Engagement,Both
1684195,23,male,529.0,1056,665,25111,3447,0.3136385708222113,Medium Engagement,Mobile
1275846,39,male,526.0,4297,1279,787,2855,0.3135278922082676,Medium Engagement,Mobile
2141603,20,male,517.0,2983,2772,253,1763,0.31333693171767407,Medium Engagement,Mobile
1539007,103,female,812.0,4673,381,1955,3268,0.3125678775041716,Medium Engagement,Both
1007637,40,male,1278.0,2840,2213,0,6,0.3121010215791103,Medium Engagement,None
1758272,22,male,445.0,4037,1704,147,2997,0.3119768469768017,Medium Engagement,Mobile
1212832,19,female,1413.0,4482,305,71,1575,0.3116181752276805,Medium Engagement,Both
2188467,18,male,1010.0,2958,2195,806,764,0.3114178527856085,Medium Engagement,Web
1183492,108,female,1463.0,3448,1308,330,581,0.31120790378269725,Medium Engagement,Web
1147692,15,female,552.0,4373,1289,15,159,0.3108993448779417,Medium Engagement,Mobile
1292537,16,female,631.0,3763,498,6369,19397,0.3108596577856797,Medium Engagement,Both
1394092,103,male,1526.0,2646,2093,216,527,0.3104280014879416,Medium Engagement,Mobile
1982264,19,male,856.0,2225,1622,8256,16150,0.31029883499783906,Medium Engagement,Both
2148846,38,female,1384.0,2729,1871,1686,1609,0.3096795347150436,Medium Engagement,Web
1531854,108,male,1952.0,3048,1233,132,852,0.309273217790058,Medium Engagement,Mobile
1865407,65,male,1541.0,2860,1503,2046,1702,0.3090122338878807,Medium Engagement,Mobile
1568432,17,female,766.0,3163,2160,817,1127,0.30884478038366125,Medium Engagement,Mobile
2144652,16,female,342.0,2944,1530,8257,3950,0.3084753639825202,Medium Engagement,Both
1426597,73,female,649.0,4720,708,270,1625,0.3082689143884235,Medium Engagement,Web
1384977,17,female,980.0,3470,1540,1202,1321,0.307953206621384,Medium Engagement,Web
2131474,84,female,405.0,4507,1172,162,1745,0.3074181011392905,Medium Engagement,Mobile
1335548,107,male,1072.0,4284,792,2,9,0.30702353832764734,Medium Engagement,Mobile
2107637,38,female,1292.0,3044,1712,730,2735,0.30685382017686796,Medium Engagement,Mobile
1343302,20,male,1252.0,2763,1920,1367,3632,0.3064715509176582,Medium Engagement,Both
1731299,17,female,829.0,2838,2137,2320,1366,0.3063949436100668,Medium Engagement,Mobile
1554413,18,female,1075.0,1848,850,12172,30222,0.3063249610692676,Medium Engagement,Mobile
1641850,112,male,1165.0,4310,543,664,227,0.30621010093299933,Medium Engagement,Web
1299870,18,male,894.0,3440,1138,3835,3833,0.30581295353969623,Medium Engagement,Mobile
2060728,23,female,1050.0,3504,1598,43,206,0.3057392622177435,Medium Engagement,Mobile
1132164,20,female,699.0,3611,973,4507,7768,0.30558039581198637,Medium Engagement,Mobile
1287555,16,female,558.0,2219,1712,9633,8874,0.305493599569616,Medium Engagement,Both
2180017,17,female,658.0,3525,1896,105,3167,0.3052169059453011,Medium Engagement,Both
1906275,50,male,750.0,4281,873,1137,906,0.3051200935741385,Medium Engagement,Mobile
2173258,102,male,1569.0,3877,680,44,12,0.3050362548854174,Medium Engagement,Mobile
1660276,66,male,716.0,4917,431,0,114,0.3047984745393669,Medium Engagement,None
2164373,19,female,839.0,3721,1535,68,825,0.3043086838620725,Medium Engagement,Mobile
1078115,19,male,396.0,4770,639,1345,1951,0.3041996680100543,Medium Engagement,Mobile
1888428,94,female,864.0,4359,835,110,211,0.30398286331810903,Medium Engagement,Mobile
1299284,15,female,437.0,3820,1834,0,778,0.3039790851458937,Medium Engagement,None
1244332,16,female,419.0,4663,542,2119,4404,0.3032265031474655,Medium Engagement,Mobile
1368252,19,male,345.0,3620,1953,432,6373,0.3028944610406771,Medium Engagement,Mobile
1098559,16,female,592.0,4737,701,2,61,0.3027384876578868,Medium Engagement,Mobile
1239018,15,female,596.0,4080,793,3306,3069,0.3026243862817808,Medium Engagement,Both
2018614,17,female,516.0,4282,1192,251,1115,0.3024880875216319,Medium Engagement,Mobile
1008629,14,female,357.0,4641,755,1403,2786,0.30248490226150004,Medium Engagement,Mobile
1529639,96,female,604.0,4803,555,313,501,0.3024311140747172,Medium Engagement,Web
2186319,18,female,1544.0,2242,1756,3090,6645,0.30208267720639037,Medium Engagement,Both
1930403,16,female,444.0,4220,1361,49,619,0.3020667386656403,Medium Engagement,Mobile
1915130,29,female,475.0,3441,2074,408,1638,0.3020396458774389,Medium Engagement,Mobile
1587019,20,female,562.0,3729,1763,60,149,0.301900767560642,Medium Engagement,Mobile
1210151,21,female,1684.0,4080,278,27,446,0.30163576339454734,Medium Engagement,Both
1479575,20,female,835.0,3170,1768,1485,4604,0.3015613000061277,Medium Engagement,Web
1537257,15,female,619.0,4468,751,959,970,0.30109964918403226,Medium Engagement,Both
1638678,25,male,1329.0,3276,1050,2269,3060,0.3009599569920073,Medium Engagement,Mobile
1949609,27,female,1416.0,3561,1039,151,754,0.3004245080552398,Medium Engagement,Mobile
1871174,20,female,968.0,3071,1827,936,3038,0.30016521463270623,Medium Engagement,Web
2042824,18,male,51.0,4817,32,1346,52964,0.2998738184897662,Medium Engagement,Mobile
1063988,22,male,330.0,4754,506,1950,3369,0.2997187416386194,Medium Engagement,Web
1350156,20,male,508.0,4249,862,1758,5294,0.2997059433971761,Medium Engagement,Both
1601426,17,female,1426.0,3384,1100,756,646,0.2995938701855675,Medium Engagement,Web
1861730,21,female,1177.0,3442,1037,1571,7340,0.299216806622019,Medium Engagement,Mobile
1967555,24,female,219.0,4587,583,2776,6652,0.29874272116329353,Medium Engagement,Web
1966857,102,,2389.0,2548,1130,50,29,0.2985103242972561,Medium Engagement,Mobile
1080716,61,male,1159.0,3056,1788,53,116,0.2973781889613644,Medium Engagement,Mobile
1892160,17,female,1063.0,3891,623,2122,2061,0.296936009627966,Medium Engagement,Mobile
1920304,16,female,516.0,2977,2425,443,250,0.29659211778254496,Medium Engagement,Both
1876432,18,female,434.0,4587,874,2,1,0.2958744844371439,Medium Engagement,Web
1925828,16,female,491.0,3357,1842,1414,1529,0.29527058066009265,Medium Engagement,Both
1099760,15,female,546.0,3712,482,6285,9515,0.29520003763833347,Medium Engagement,Mobile
1670458,78,female,859.0,3727,862,2559,3723,0.29514732508654246,Medium Engagement,Mobile
1175550,15,female,632.0,4475,750,120,500,0.2949858658134212,Medium Engagement,Both
1025999,47,female,768.0,3117,1799,1500,942,0.2944797898463911,Medium Engagement,Web
1965680,19,female,1653.0,3453,627,345,9071,0.2942946531759739,Medium Engagement,Web
1734687,58,male,1057.0,2786,2092,114,304,0.29409448365649604,Medium Engagement,Mobile
1856665,34,male,392.0,2634,2201,4202,2458,0.29406736053978405,Medium Engagement,Both
1129143,52,female,595.0,3945,1311,150,1025,0.29401952788294805,Medium Engagement,Both
1357273,103,female,899.0,4597,331,28,1223,0.29353896631793075,Medium Engagement,Mobile
1103619,20,female,669.0,3056,2184,0,578,0.2930066879385745,Medium Engagement,None
1888602,68,male,488.0,3206,2212,1,2,0.29289301268017404,Medium Engagement,Mobile
1617593,19,female,404.0,3529,1919,166,491,0.29282926401177745,Medium Engagement,Mobile
1579327,19,female,421.0,4295,897,1183,2123,0.29256601295449575,Medium Engagement,Both
2090699,103,female,783.0,4923,96,26,80,0.2923179162833911,Medium Engagement,Mobile
1726799,23,female,674.0,4371,768,21,23,0.29142652713766937,Medium Engagement,Mobile
1297341,17,male,711.0,2756,2338,511,627,0.29131896501795496,Medium Engagement,Mobile
1528635,80,female,929.0,4514,286,424,220,0.29097181317196585,Medium Engagement,Mobile
1839020,19,female,403.0,3949,1383,403,1501,0.2909021920872284,Medium Engagement,Mobile
1291288,87,male,1405.0,3850,551,125,626,0.2907176590795164,Medium Engagement,Web
1850675,18,female,368.0,3728,1654,444,574,0.29070274493791165,Medium Engagement,Mobile
1124345,108,female,1614.0,3008,1191,319,742,0.2904684278819075,Medium Engagement,Both
1379819,66,male,733.0,2691,2376,407,299,0.2898239255672569,Medium Engagement,Mobile
1749991,107,male,328.0,3748,396,6203,19674,0.2895859844301792,Medium Engagement,Both
1783264,20,male,267.0,2536,610,14355,5151,0.2892587708112506,Medium Engagement,Both
1149793,20,male,534.0,3048,2248,26,120,0.28909452301081184,Medium Engagement,Mobile
1069526,18,female,621.0,3216,1626,2017,1995,0.28905726650455854,Medium Engagement,Both
1825800,17,male,1221.0,3563,1023,25,113,0.28894125560956924,Medium Engagement,Web
1930748,16,female,658.0,4705,282,518,699,0.2886435980614378,Medium Engagement,Mobile
1093992,108,male,1111.0,4089,510,372,398,0.28861942724966083,Medium Engagement,Web
1844239,19,female,553.0,4103,753,1690,5221,0.2885840218247074,Medium Engagement,Mobile
1674584,17,female,401.0,818,395,1016,261197,0.2878576428776392,Medium Engagement,Both
1364887,20,female,1089.0,2392,1408,5339,4964,0.2877873413105992,Medium Engagement,Mobile
1597192,17,male,54.0,2842,2276,3701,1908,0.28768665484018097,Medium Engagement,Web
1800318,19,female,1051.0,3951,568,862,3032,0.28746311853476975,Medium Engagement,Web
1466914,23,male,1320.0,2925,1477,466,689,0.28713776611182806,Medium Engagement,Both
1824490,15,female,646.0,4526,402,94,7711,0.2867638084667569,Medium Engagement,Mobile
1197454,24,male,451.0,4653,512,406,797,0.2863946324527249,Medium Engagement,Both
1852952,17,male,243.0,1960,1569,11439,10850,0.2862841100647831,Medium Engagement,Both
2007684,18,female,617.0,4384,669,196,328,0.2862122557155758,Medium Engagement,Mobile
1219750,19,female,1449.0,3275,936,416,2665,0.28608062865036105,Medium Engagement,Both
2040681,21,female,1369.0,3716,596,221,1726,0.28597126812898027,Medium Engagement,Mobile
1195943,15,female,111.0,2002,1524,11959,12554,0.2853837734517065,Medium Engagement,Mobile
1758362,18,male,565.0,2917,2279,7,13,0.28518631920388715,Medium Engagement,Mobile
1867413,18,female,1801.0,3237,411,1603,2694,0.28510994627235664,Medium Engagement,Both
